29	3	-0.013	25	27	-0.023
-46	6	-0.023	-77	79	0.041
15	15	-0.017	46	29	-0.03
31	-4	0	29	-31	-0.015
42	22	-0.012	36	8	-0.035
-35	26	-0.014	40	24	-0.026
57	46	-0.009	34	-6	-0.023
-33	122	0.018	-13	148	0.055
10	21	0.029	34	99	0.049
-17	31	0.034	2	59	0.062
41	52	0.024	119	34	0.006
-21	36	0.046	-84	486	0.67
-37	52	-0.013	20	14	-0.006
-37	40	0.03	-16	70	0.035
41	56	-0.015	25	35	0.059
-24	54	0.029	13	91	0.061
39	79	-0.013	22	58	0.03
-25	51	-0.002	33	204	0.022
33	-23	-0.096	-24	-22	-0.0216
39	43	0.0033	-8	39	0.0065
-33	15	0.0044	-24	-5	0.0024
45	43	0.0056	16	28	0.0101
-2	15	-0.0025	-10	-1	0.0045
24	47	0.0026	-6	29	0.004
-28	10	-0.0074	-22	19	0.0083
18	46	0.0053	-35	46	-0.0029
-20	9	-0.007	-26	-17	0.0067
47	14	0.0114	15	48	-0.0005
-12	-5	-0.0014	-59	-43	-0.0041
52	54	0.0101	17	35	0.0004
-33	18	0.0019	4	5	0.0057
-20	10	-0.0019	-64	-101	0.0104
-32	-4	0.02	53	23	0.02
-26	-97	0.1	73	-75	0.09
15	-17	0.009	21	37	0.01
-45	-17	0.015	65	-17	0.004
13	24	0.01	38	42	0.003
-40	-13	0.012	83	-6	0.017
-24	24	0.04	78	47	0.03
-12	-48	0.03	-16	26	0.03
-29	-13	0.025	110	-9	0.016
61	17	0.025	41	80	0.009
-41	16	0.09	79	88	0.04
22	-13	0.006	-23	61	0.012
-93	46	0.04	42	92	0.07
-116	22	0.006	-26	122	0.01
-46	21	0.06	65	64	0.09
32	-25	0.011	17	13	0.016
-11	-11	0.0044	-38	-12	0.018
-28	-18	0.007	-84	-41	0.008
-16	14	0.003	-44	-12	-0.02
-36	12	0.002	-35	2	-0.012
29	-26	0.11	-9	-35	-0.005
-28	22	0.18	14	42	-0.012
-65	-21	0.15	-4	14	-0.012
-20	97	0.021	16	118	0.063
-46	119	0.016	-18	90	0.072
-2	-1	0.0005	1	24	-0.014
-4	22	-0.018	71	-26	0.041
-6	20	-0.017	-2	25	0.007
-26	-4	0.006	19	-31	0.023
30	-5	0.008	-50	-36	-0.007
-20	32	-0.019	-32	62	-0.163
-42	-27	-0.018	-4	-37	-0.004
-32	14	0.002	-28	314	-0.009
-8	-28	-0.008	39	-75	-0.018
-26	3	-0.003	-35	-37	-0.007
-8	-19	-0.001	9	-92	-0.014
-2	-34	-0.014	-10	-28	-0.008
99	-150	-0.041	57	-61	-0.016
1	26	-0.012	36	-59	-0.002
-16	-3	-0.007	76	32	0.024
24	-34	-0.004	176	122	-0.060
74	-33	-0.004	-32	-29	0.008
-37	-44	0.006	130	70	-0.028
-15	-33	0.016	-69	-24	-0.018
21	-38	0.013	153	84	-0.023
18	-48	0.004	-68	-60	0.002
-7	52	0.002	-13	113	-0.071
-2	10	0.008	45	23	0.017
8	26	-0.001	8	81	-0.038
43	13	0.011	-18	-5	-0.007
-4	1	-0.011	5	95	-0.026
19	-17	0.020	16	12	-0.025
-9	20	0.005	-32	-24	-0.025
23	8	0.005	22	-9	0.017
6	6	-0.004	-92	-75	0.015
82	1	0.012	-10	29	-0.016
-5	11	-0.006	-2	140	-0.028
6	-1	0.014	6	43	-0.016
-80	-15	0.023	39	2	-0.052
25	5	0.009	27	25	-0.003
11	-3	0.001	39	-127	0.011
11	28	0.009	19	-5	-0.027
29	21	0.001	-19	-26	0.023
51	-9	-0.024	-16	33	0.023
8	-6	0.008	5	-20	0.016
9	23	0.005	-8	21	0.032
5	12	0.002	-41	-87	0.015
18	8	0.005	19	33	0.008
15	17	0.001	-2	8	0.035
-4	14	0.009	-8	30	0.015
-3	6	0.016	-42	31	0.014
43	11	0.008	20	35	0.013
